psu,a7,a8,relprac,floodrisk,pop1011_UNOSAT,dem_mean,dem_std,neigh_Rivers,centdist_MRiver,flood_exp,violent_vignette,effective,approve,vv_pop1011_UNOSAT,male,headh,age,read,math,educ,sunni,knowfullpca,simpleknow,vv_flood_exp
937,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.75,.75,0,1,1,.33000001,1,1,.16666667,1,1.3678237,.5,0
563,Barkhan,Barkhan,.40000001,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,1,.34999999,1,1,.33333334,1,2.7387638,.89999998,0
857,Barkhan,Barkhan,.33333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,0,0,.40000001,1,1,.5,1,1.8195233,.60000002,0
89,Barkhan,Barkhan,.2,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,0,.44999999,0,,0,1,1.056061,.40000001,0
916,Barkhan,Barkhan,.23333333,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.75,.75,0,1,1,.5,0,0,0,1,.68146592,.30000001,0
973,Barkhan,Barkhan,.2,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,0,0,.38,0,,0,1,2.1312859,.69999999,0
104,Barkhan,Barkhan,.66666669,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,1,1,0,0,0,.38,0,0,0,1,.65406334,.2,0
563,Barkhan,Barkhan,.5,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.25,.25,0,1,1,.40000001,1,1,.66666669,1,2.7387638,.89999998,0
951,Barkhan,Barkhan,.33333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,1,1,0,1,1,.34,0,0,0,1,1.0609791,.40000001,0
4,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.25,.25,0,0,0,.30000001,0,0,0,1,2.1196299,.69999999,0
4,Barkhan,Barkhan,.16666667,.048734177,0,1.2624629,.20841773,0,1.3607925,0,1,.25,.75,0,0,0,.41999999,0,1,0,1,3.0063336,1,0
916,Barkhan,Barkhan,.23333333,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,.75,.75,0,1,1,.47,0,0,0,1,1.0609791,.40000001,0
437,Barkhan,Barkhan,,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,1,1,.5,0,0,0,1,.68146592,.30000001,0
973,Barkhan,Barkhan,.43333334,.048734177,0,1.2624629,.20841773,0,1.3607925,0,0,0,0,0,0,0,.34999999,0,,0,1,1.3678237,.5,0
